index,Year,Month,Date,DHF
1,2558,1,1/1/2558,2639
2,2558,2,1/2/2558,2183
3,2558,3,1/3/2558,2716
4,2558,4,1/4/2558,3431
5,2558,5,1/5/2558,8065
6,2558,6,1/6/2558,12913
7,2558,7,1/7/2558,17735
8,2558,8,1/8/2558,21852
9,2558,9,1/9/2558,21181
10,2558,10,1/10/2558,18058
11,2558,11,1/11/2558,23472
12,2558,12,1/12/2558,10707
13,2559,1,1/1/2559,7068
14,2559,2,1/2/2559,4060
15,2559,3,1/3/2559,3712
16,2559,4,1/4/2559,2152
17,2559,5,1/5/2559,1981
18,2559,6,1/6/2559,3741
19,2559,7,1/7/2559,7491
20,2559,8,1/8/2559,10258
21,2559,9,1/9/2559,7995
22,2559,10,1/10/2559,6336
23,2559,11,1/11/2559,5253
24,2559,12,1/12/2559,3884
25,2560,1,1/1/2560,3425
26,2560,2,1/2/2560,2477
27,2560,3,1/3/2560,2158
28,2560,4,1/4/2560,2140
29,2560,5,1/5/2560,3771
30,2560,6,1/6/2560,7259
31,2560,7,1/7/2560,8581
32,2560,8,1/8/2560,7708
33,2560,9,1/9/2560,5121
34,2560,10,1/10/2560,4167
35,2560,11,1/11/2560,4179
36,2560,12,1/12/2560,2975
37,2561,1,1/1/2561,2240
38,2561,2,1/2/2561,1991
39,2561,3,1/3/2561,2599
40,2561,4,1/4/2561,3100
41,2561,5,1/5/2561,7293
42,2561,6,1/6/2561,13636
43,2561,7,1/7/2561,14114
44,2561,8,1/8/2561,12408
45,2561,9,1/9/2561,9042
46,2561,10,1/10/2561,7527
47,2561,11,1/11/2561,7247
48,2561,12,1/12/2561,5725
49,2562,1,1/1/2562,5797
50,2562,2,1/2/2562,4984
51,2562,3,1/3/2562,5369
52,2562,4,1/4/2562,4931
53,2562,5,1/5/2562,8350
54,2562,6,1/6/2562,18697
55,2562,7,1/7/2562,22413
56,2562,8,1/8/2562,18209
57,2562,9,1/9/2562,14367
58,2562,10,1/10/2562,12848
59,2562,11,1/11/2562,10418
60,2562,12,1/12/2562,4774
61,2563,1,1/1/2563,3883
62,2563,2,1/2/2563,2787
63,2563,3,1/3/2563,2539
64,2563,4,1/4/2563,3111
65,2563,5,1/5/2563,5805
66,2563,6,1/6/2563,9242
67,2563,7,1/7/2563,15828
68,2563,8,1/8/2563,12527
69,2563,9,1/9/2563,7915
70,2563,10,1/10/2563,4324
71,2563,11,1/11/2563,2967
72,2563,12,1/12/2563,1591
73,2564,1,1/1/2564,1038
74,2564,2,1/2/2564,761
75,2564,3,1/3/2564,698
76,2564,4,1/4/2564,450
77,2564,5,1/5/2564,1032
78,2564,6,1/6/2564,1431
79,2564,7,1/7/2564,908
80,2564,8,1/8/2564,785
81,2564,9,1/9/2564,578
82,2564,10,1/10/2564,
83,2564,11,1/11/2564,
84,2564,12,1/12/2564,
