Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T,78T,79T,80T,81T,82T,83T,84T
1/1/2020,20,22,18,23,17,20,20,21,22,21,21,23,29,20,32,16,16,35,21,23,18,28,16,25,45,27,18,21,25,22,26,23,20,28,28,23,21,15,18,35,13,8,12,20,15,15,15,15,18,24,21,28,20,22,15,13,20,24,17,35,15,10,38,7,34,n/a,n/a,n/a
2/1/2020,26,24,20,26,21,24,26,28,27,27,28,30,32,25,28,22,21,38,22,23,20,31,22,26,40,30,34,27,26,26,27,31,25,23,17,17,21,13,19,23,23,15,12,21,19,23,13,13,16,18,15,22,16,19,21,17,19,29,14,32,22,9,29,8,27,n/a,n/a,n/a
3/1/2020,32,28,24,31,24,27,32,32,29,33,30,36,38,30,33,27,24,41,26,29,32,31,35,34,66,45,34,31,21,32,31,34,24,26,16,23,22,14,24,29,23,9,12,24,24,27,14,12,14,16,16,26,25,18,28,16,24,33,10,33,25,8,43,8,38,n/a,n/a,n/a
4/1/2020,37,35,31,35,35,34,37,38,39,39,35,44,48,35,43,36,31,51,30,34,46,37,45,44,76,58,41,34,36,36,41,46,37,36,30,42,36,30,37,34,18,9,12,28,27,34,13,17,18,25,20,49,36,28,45,19,27,38,15,33,28,8,51,9,51,n/a,n/a,n/a
5/1/2020,45,41,33,40,36,38,42,51,44,45,40,46,56,39,53,44,41,58,34,44,47,39,42,48,71,61,49,47,38,44,49,52,45,61,55,51,43,44,50,34,20,9,14,25,28,40,18,19,28,26,21,69,42,37,44,23,37,51,19,40,39,8,56,10,56,n/a,n/a,n/a
6/1/2020,51,49,39,46,49,40,46,62,50,52,45,52,63,45,66,43,45,62,33,42,52,48,62,55,62,67,57,55,45,53,51,54,41,42,36,59,61,51,59,45,18,16,21,34,35,38,24,25,27,22,28,57,52,43,48,32,40,64,23,41,41,17,71,20,57,n/a,n/a,n/a
7/1/2020,51,57,39,47,45,38,57,64,52,53,57,64,66,48,71,49,47,72,41,59,58,54,75,63,70,54,61,53,n/a,49,63,68,54,31,27,64,84,60,72,59,31,28,19,60,46,46,20,22,31,18,39,55,60,50,50,34,33,59,32,41,48,17,72,15,53,n/a,n/a,n/a
8/1/2020,53,64,47,53,52,49,60,58,55,55,59,63,76,49,59,53,50,76,48,51,61,54,76,57,82,61,58,49,43,55,65,66,59,56,51,73,66,54,61,53,18,12,12,42,39,61,14,15,43,18,36,70,60,59,48,34,48,55,31,54,45,9,83,8,55,n/a,n/a,n/a
9/1/2020,60,55,47,49,49,47,53,74,56,63,56,70,67,60,81,51,54,68,55,63,57,61,67,56,90,88,53,51,46,51,55,57,53,58,58,64,49,58,55,55,12,7,12,43,40,50,17,16,48,29,33,68,72,56,48,33,50,56,31,53,48,8,71,8,74,n/a,n/a,n/a
10/1/2020,97,100,63,72,78,70,78,96,82,101,77,102,112,82,94,86,86,108,48,67,60,72,68,59,88,109,51,58,41,66,67,60,59,49,47,64,61,60,65,62,17,13,15,46,44,47,18,21,44,23,44,65,87,57,47,41,44,55,37,50,46,7,82,11,77,n/a,n/a,n/a
11/1/2020,46,46,35,46,35,42,47,57,49,49,46,65,55,47,61,37,37,53,28,51,60,54,76,64,73,59,34,20,18,29,37,43,37,35,35,52,62,55,60,59,21,18,16,50,50,41,18,19,29,24,45,62,86,45,44,50,22,26,40,54,69,12,68,13,70,n/a,n/a,n/a
