date,day,month,year,dow,week,covid
2021-04-01,1,4,2021,4,13,26
2021-04-02,2,4,2021,5,13,58
2021-04-03,3,4,2021,6,13,84
2021-04-04,4,4,2021,0,13,96
2021-04-05,5,4,2021,1,14,194
2021-04-06,6,4,2021,2,14,250
2021-04-07,7,4,2021,3,14,334
2021-04-08,8,4,2021,4,14,405
2021-04-09,9,4,2021,5,14,559
2021-04-10,10,4,2021,6,14,789
2021-04-11,11,4,2021,0,14,967
2021-04-12,12,4,2021,1,15,985
2021-04-13,13,4,2021,2,15,965
2021-04-14,14,4,2021,3,15,1338
2021-04-15,15,4,2021,4,15,1543
2021-04-16,16,4,2021,5,15,1582
2021-04-17,17,4,2021,6,15,1547
2021-04-18,18,4,2021,0,15,1767
2021-04-19,19,4,2021,1,16,1390
2021-04-20,20,4,2021,2,16,1443
2021-04-21,21,4,2021,3,16,1458
2021-04-22,22,4,2021,4,16,1470
2021-04-23,23,4,2021,5,16,2070
2021-04-24,24,4,2021,6,16,2839
2021-04-25,25,4,2021,0,16,2438
2021-04-26,26,4,2021,1,17,2048
2021-04-27,27,4,2021,2,17,2179
2021-04-28,28,4,2021,3,17,2012
2021-04-29,29,4,2021,4,17,1871
2021-04-30,30,4,2021,5,17,1583
2021-05-01,1,5,2021,6,17,1891
2021-05-02,2,5,2021,0,17,1940
2021-05-03,3,5,2021,1,18,2041
2021-05-04,4,5,2021,2,18,1763
2021-05-05,5,5,2021,3,18,2112
2021-05-06,6,5,2021,4,18,1911
2021-05-07,7,5,2021,5,18,2044
2021-05-08,8,5,2021,6,18,2419
2021-05-09,9,5,2021,0,18,2101
2021-05-10,10,5,2021,1,19,1630
2021-05-11,11,5,2021,2,19,1919
2021-05-12,12,5,2021,3,19,1983
2021-05-13,13,5,2021,4,19,4887
2021-05-14,14,5,2021,5,19,2256
2021-05-15,15,5,2021,6,19,3095
2021-05-16,16,5,2021,0,19,2302
2021-05-17,17,5,2021,1,20,9635
2021-05-18,18,5,2021,2,20,2473
2021-05-19,19,5,2021,3,20,3394
2021-05-20,20,5,2021,4,20,2636
2021-05-21,21,5,2021,5,20,3481
2021-05-22,22,5,2021,6,20,3052
2021-05-23,23,5,2021,0,20,3382
2021-05-24,24,5,2021,1,21,2713
2021-05-25,25,5,2021,2,21,3226
2021-05-26,26,5,2021,3,21,2455
2021-05-27,27,5,2021,4,21,3323
2021-05-28,28,5,2021,5,21,3759
2021-05-29,29,5,2021,6,21,4803
2021-05-30,30,5,2021,0,21,4528
2021-05-31,31,5,2021,1,22,5485
2021-06-01,1,6,2021,2,22,2230
2021-06-02,2,6,2021,3,22,3440
2021-06-03,3,6,2021,4,22,3886
2021-06-04,4,6,2021,5,22,2631
2021-06-05,5,6,2021,6,22,2817
2021-06-06,6,6,2021,0,22,2671
2021-06-07,7,6,2021,1,23,2419
2021-06-08,8,6,2021,2,23,2662
2021-06-09,9,6,2021,3,23,2680
2021-06-10,10,6,2021,4,23,2310
2021-06-11,11,6,2021,5,23,2290
2021-06-12,12,6,2021,6,23,3277
2021-06-13,13,6,2021,0,23,2804
2021-06-14,14,6,2021,1,24,3355
2021-06-15,15,6,2021,2,24,3000
2021-06-16,16,6,2021,3,24,2331
2021-06-17,17,6,2021,4,24,3129
2021-06-18,18,6,2021,5,24,3058
2021-06-19,19,6,2021,6,24,3667
2021-06-20,20,6,2021,0,24,3682
2021-06-21,21,6,2021,1,25,3175
