"","date","year","month","cases","mean","amax","amin","median","sum","case_nextmonth","fit_dhfrain","year_from_last_epidemic"
"1",2009-01-01,2009,1,2614,0.654299407950381,176.2,0,0,2320.8,2057,1071.85013411402,2
"2",2009-02-01,2009,2,2057,0.252917316692668,46.4,0,0,810.6,2324,-644.921734841033,2
"3",2009-03-01,2009,3,2324,2.87855089131685,132,0,0,10011.6,2947,-371.474918488503,2
"4",2009-04-01,2009,4,2947,4.51726084373143,216.8,0,0,15205.1,6234,690.042563126318,2
"5",2009-05-01,2009,5,6234,7.47589907192575,178.7,0,0.7,25776.9,8569,3220.49039096153,2
"6",2009-06-01,2009,6,8569,5.27822021116139,157.1,0,0.2,17497.3,7184,8806.02872536501,2
"7",2009-07-01,2009,7,7184,7.24663986214819,263.6,0,0.6,25232.8,7302,10944.1282074034,2
"8",2009-08-01,2009,8,7302,6.87486227892143,164.9,0,0.4,23711.4,5016,10532.1599000662,2
"9",2009-09-01,2009,9,5016,8.77842505854801,338.9,0,1.15,29987.1,4640,8000.66603369761,2
"10",2009-10-01,2009,10,4640,5.45566224230443,141.4,0,0,19318.5,4723,5344.79289961826,2
"11",2009-11-01,2009,11,4723,2.97489337503554,255.3,0,0,10462.7,3040,5696.24713863474,2
"12",2009-12-01,2009,12,3040,0.678375411635565,139.9,0,0,2472,3626,2326.09838083938,2
"13",2010-01-01,2010,1,3626,1.41421038023869,88.5,0,0,5095.4,3710,7011.81380246281,0
"14",2010-02-01,2010,2,3710,0.475626145387905,91.8,0,0,1557.2,4550,6779.48339101818,0
"15",2010-03-01,2010,3,4550,0.893637621023513,98,0,0,3230.5,4291,7415.59313647884,0
"16",2010-04-01,2010,4,4291,1.91290322580645,123.1,0,0,6641.6,7616,8236.09297890981,0
"17",2010-05-01,2010,5,7616,4.05936525928025,98.5,0,0,14325.5,13876,11291.19940392,0
"18",2010-06-01,2010,6,13876,6.2570800351803,139.6,0,0.2,21342.9,21455,15280.9284098423,0
"19",2010-07-01,2010,7,21455,7.21259618124822,139.6,0,1,25309,23462,16943.5815975732,0
"20",2010-08-01,2010,8,23462,10.5204352741662,166.8,0,3.2,37221.3,16492,15868.1234736909,0
"21",2010-09-01,2010,9,16492,8.0470776388485,180.5,0,1.4,27673.9,8897,14029.2936551238,0
"22",2010-10-01,2010,10,8897,8.10754135127558,208,0,0.5,28919.6,5723,11764.032611939,0
"23",2010-11-01,2010,11,5723,4.11376146788991,358,0,0,14348.8,3249,13193.1880281742,0
"24",2010-12-01,2010,12,3249,2.69264057331863,169.7,0,0,9768.9,2889,8723.05735258192,0
"25",2011-01-01,2011,1,2889,1.331394707828,188,0,0,4830.3,2256,1461.36140103037,1
"26",2011-02-01,2011,2,2256,0.769268441995715,85,0,0,2513.2,2403,69.4444075200349,1
"27",2011-03-01,2011,3,2403,6.29133880554769,414.7,0,0,22227.3,3255,1148.80467199193,1
"28",2011-04-01,2011,4,3255,3.67446870451237,109.2,0,0,12621.8,8058,736.256640826851,1
"29",2011-05-01,2011,5,8058,6.95477401129944,191.2,0,0.5,24619.9,12284,4208.01352761022,1
"30",2011-06-01,2011,6,12284,6.99337295690936,216,0,1,23532.7,12082,9114.45783136021,1
"31",2011-07-01,2011,7,12082,7.97637393767705,405.9,0,1.1,28156.6,9784,12503.0413333087,1
"32",2011-08-01,2011,8,9784,9.64828173814257,211.9,0,2.2,33971.6,6244,10209.0837683463,1
"33",2011-09-01,2011,9,6244,10.717464953271,221.2,0,2.8,36696.6,4115,6580.88357038962,1
"34",2011-10-01,2011,10,4115,6.78576252110298,183.9,0,0.1,24116.6,4143,5693.10933265472,1
"35",2011-11-01,2011,11,4143,2.4303504199247,240,0,0,8392,2287,6440.68203122951,1
"36",2011-12-01,2011,12,2287,2.02356828193833,279.1,0,0,7349.6,1964,3552.74349838529,1
"37",2012-01-01,2012,1,1964,2.99748462828396,405,0,0,10725,2019,3115.14694188809,2
"38",2012-02-01,2012,2,2019,0.794658056941591,98,0,0,2707.4,2379,664.638612643068,2
"39",2012-03-01,2012,3,2379,1.74132049518569,100.2,0,0,6329.7,3105,1004.10464301931,2
"40",2012-04-01,2012,4,3105,3.4512399077278,145,0,0,11968.9,4924,1664.06026433233,2
"41",2012-05-01,2012,5,4924,7.07962705260228,182.3,0,0.3,25437.1,8359,4554.50211345112,2
"42",2012-06-01,2012,6,8359,5.01872626351154,203.1,0,0.1,17179.1,10162,10460.8964032587,2
"43",2012-07-01,2012,7,10162,6.5548049745619,242.4,0,0.9,23190.9,9708,12196.8986448521,2
"44",2012-08-01,2012,8,9708,6.77761279268989,187.8,0,0.7,23735.2,8934,11895.3242834715,2
"45",2012-09-01,2012,9,8934,10.1655401502022,208,0,2.2,35193.1,9697,7222.13070402867,2
"46",2012-10-01,2012,10,9697,3.91702948470653,92.1,0,0,14214.9,10576,6758.25615996215,2
"47",2012-11-01,2012,11,10576,3.7900947459087,268.3,0,0,13200.9,7766,6518.22042106735,2
"48",2012-12-01,2012,12,7766,2.07947325549824,229.8,0,0,7658.7,8172,3563.20645446722,2
"49",2013-01-01,2013,1,8172,1.26839266450917,111.3,0,0,4703.2,6099,8398.04186928854,0
"50",2013-02-01,2013,2,6099,1.08413075780089,115.6,0,0,3648.1,7707,7802.43842618793,0
"51",2013-03-01,2013,3,7707,0.988792870645423,89.4,0,0,3661.5,9000,8395.2184029006,0
"52",2013-04-01,2013,4,9000,2.95480225988701,218.4,0,0,10460,15656,9700.01348949128,0
"53",2013-05-01,2013,5,15656,5.08120528343423,195,0,0,18465.1,28377,12776.015794832,0
"54",2013-06-01,2013,6,28377,6.98575114678899,188.8,0,0.5,24366.3,31132,16477.219592983,0
"55",2013-07-01,2013,7,31132,8.77766046123923,394.9,0,1.1,31590.8,22253,19614.8125195747,0
"56",2013-08-01,2013,8,22253,7.06084033613445,149.9,0,0.7,25207.2,11844,18526.8141600465,0
"57",2013-09-01,2013,9,11844,10.506492387245,279.5,0,2.2,36573.1,6838,14827.2335301361,0
"58",2013-10-01,2013,10,6838,13.926973310619,153.4,0,6.1,24525.4,5002,9496.03494949692,0
"59",2013-11-01,2013,11,5002,14.2371428571429,257.1,0,3.3,15945.6,2360,8376.08052713896,0
"60",2013-12-01,2013,12,2360,9.03415007656968,290.5,0,1,5899.3,1748,7803.97246960512,0
"61",2014-01-01,2014,1,1748,0.996697038724374,121.3,0,0,875.1,1528,2121.01779984707,1
"62",2014-02-01,2014,2,1528,0.455958549222798,54,0,0,528,1672,1045.55606949246,1
"63",2014-03-01,2014,3,1672,1.81892247043364,99.5,0,0,2768.4,1382,1575.10390177696,1
"64",2014-04-01,2014,4,1382,5.24047619047619,94,0,0,9684.4,2474,929.218428007109,1
"65",2014-05-01,2014,5,2474,7.85936555891239,115.3,0,1.8,15608.7,4357,4171.52030896048,1
"66",2014-06-01,2014,6,4357,10.0968680089485,156.8,0,3.7,22566.5,5911,8145.26889916523,1
"67",2014-07-01,2014,7,5911,11.0372673434856,198,0,4.2,26092.1,5751,10192.7813121573,1
"68",2014-08-01,2014,8,5751,11.5382730923695,161.6,0,4.8,28730.3,4845,9920.56529020439,1
"69",2014-09-01,2014,9,4845,11.7316120341266,186.2,0,4.1,26126.3,4325,6864.94681716797,1
"70",2014-10-01,2014,10,4325,10.3330293819656,172.1,0,3.45,20397.4,4229,4939.00413840758,1
"71",2014-11-01,2014,11,4229,9.61872213967311,161,0,2.4,12946.8,2859,3273.28880371504,1
"72",2014-12-01,2014,12,2859,9.11386514719848,203.3,0,0.5,9596.9,2639,463.085248325335,1
"73",2015-01-01,2015,1,2639,3.63883870967742,69.1,0,0,2820.1,2183,7577.37076400761,0
"74",2015-02-01,2015,2,2183,3.01227336122734,87,0,0,2159.8,2716,7324.72388982254,0
"75",2015-03-01,2015,3,2716,5.26877682403433,111.6,0,0,4910.5,3431,7221.65679057952,0
"76",2015-04-01,2015,4,3431,7.31474464579901,104.4,0,1.4,8880.1,8065,7239.3700311927,0
"77",2015-05-01,2015,5,8065,7.52039312039312,144.2,0,2.2,12243.2,12913,11842.6279176115,0
"78",2015-06-01,2015,6,12913,9.66792134831461,197.1,0,2.5,17208.9,17735,15965.2246540278,0
"79",2015-07-01,2015,7,17735,10.1605809128631,166.8,0,4,24487,21852,17578.8543500117,0
"80",2015-08-01,2015,8,21852,11.2232735426009,187.3,0,4.1,25027.9,21180,17550.5244377269,0
"81",2015-09-01,2015,9,21180,13.476761487965,162.5,0,5.4,30794.4,18058,13025.236068138,0
"82",2015-10-01,2015,10,18058,10.1789090909091,159.5,0,3.3,19594.4,23472,12138.7007184294,0
"83",2015-11-01,2015,11,23472,8.26524678837052,120,0,1.9,12224.3,10706,10804.9989690632,0
"84",2015-12-01,2015,12,10706,5.20986547085202,171.4,0,0.1,5809,7068,9337.42783599252,0
"85",2016-01-01,2016,1,7068,5.73523459061638,132,0,0.6,6234.2,4060,615.712577211921,1
"86",2016-02-01,2016,2,4060,1.93955119214586,55.5,0,0,1382.9,3712,1063.04871041056,1
"87",2016-03-01,2016,3,3712,1.76759002770083,138.2,0,0,1276.2,2152,2692.20205530705,1
"88",2016-04-01,2016,4,2152,4.90723453908985,87,0,0,4205.5,1981,1766.88823561782,1
"89",2016-05-01,2016,5,1981,10.422479338843,190.4,0,3.1,18916.8,3741,4331.20969327702,1
"90",2016-06-01,2016,6,3741,12.354763986014,177.3,0,4.5,28267.7,7491,7955.5133664914,1
"91",2016-07-01,2016,7,7491,11.1854813046937,209.9,0,4.45,28120.3,10258,10965.8666855358,1
"92",2016-08-01,2016,8,10258,10.6124190938511,174.9,0,4,26233.9,7994,11236.7765731716,1
"93",2016-09-01,2016,9,7994,12.8529622266402,229.5,0,4.7,32325.2,6336,7445.19035405276,1
"94",2016-10-01,2016,10,6336,11.5309230114845,168.2,0,4.4,27109.2,5253,5049.09963557693,1
"95",2016-11-01,2016,11,5253,7.25582620144832,177.8,0,1.5,11021.6,3884,5331.07406978446,1
"96",2016-12-01,2016,12,3884,11.3598792062123,302.4,0,0,13166.1,3412,999.179011682284,1
"97",2017-01-01,2017,1,3412,12.9547700754976,615.6,0,1,18875.1,2465,1970.67165664206,2
"98",2017-02-01,2017,2,2465,2.11878787878788,73.8,0,0,1748,2152,1631.84070429017,2
"99",2017-03-01,2017,3,2152,7.24392156862745,114.1,0,0.6,9236,2133,256.252249248545,2
"100",2017-04-01,2017,4,2133,7.36636245110821,187.5,0,1.4,11300,3739,1961.97539696346,2
"101",2017-05-01,2017,5,3739,14.1009508061182,248.9,0,5.5,34110.2,7233,3539.54420699015,2
"102",2017-06-01,2017,6,7233,10.0056045895852,137.4,0,3.65,22672.7,8539,9238.52996605394,2
"103",2017-07-01,2017,7,8539,12.2290405904059,193,0,5,33140.7,7678,10784.4712884803,2
"104",2017-08-01,2017,8,7678,11.9061369000787,132.5,0,4.5,30265.4,5127,10698.2876839658,2
"105",2017-09-01,2017,9,5127,11.3930127414714,192.6,0,3.9,27719.2,4154,8316.65577077419,2
"106",2017-10-01,2017,10,4154,11.2423023578363,190.3,0,4,24317.1,4100,5882.68756671666,2
"107",2017-11-01,2017,11,4100,7.48146588037068,264.9,0,0,17761,2457,6506.16082007334,2
"108",2017-12-01,2017,12,2457,6.49723756906077,250.3,0,0.2,8232,2240,3411.42932286307,2
"109",2018-01-01,2018,1,2240,6.02785016286645,174.8,0,0.1,7402.2,1991,3029.01305350759,3
